event_id,event_name,category,kind,start_date,known_at_date,end_date,stage,economic_channel,upward_pressure_score,downward_pressure_score,official_source_name,official_source_url,short_summary
AD_CVD_COLD_ROLLED_JP_CN_2016,냉연강판 반덤핑 관세 명령 (일본·중국),TRADE_TARIFF_SANCTION,ONGOING,2016-07-14,2016-07-14,,IMPLEMENTED,수입 냉연강 제한 -> 국내 밀 가동률과 국내 스크랩 수요 지지,1,0,U.S. Federal Register (Dept. of Commerce),https://www.federalregister.gov/documents/2016/07/14/2016-16798/certain-cold-rolled-steel-flat-products-from-japan-and-the-peoples-republic-of-china-antidumping,일본·중국산 냉연강판에 대한 반덤핑 관세 명령이 발효됐다.
AD_CVD_COLD_ROLLED_MULTI_2016,냉연강판 반덤핑 관세 명령 (브라질·인도·한국·영국),TRADE_TARIFF_SANCTION,ONGOING,2016-09-20,2016-09-20,,IMPLEMENTED,수입 냉연강 제한 확대 -> 국내 생산 대체 수요 지지,1,0,U.S. Federal Register (Dept. of Commerce),https://www.federalregister.gov/documents/2016/09/20/2016-22613/certain-cold-rolled-steel-flat-products-from-brazil-india-the-republic-of-korea-and-the-united,브라질·인도·한국·영국산 냉연강판에 대한 반덤핑 관세 명령이 발효됐다.
S232_STEEL_INVESTIGATION_2017,Section 232 철강 수입 국가안보 조사 개시,TRADE_TARIFF_SANCTION,ONGOING,2017-04-19,2017-04-26,2018-03-08,ANNOUNCED,향후 수입 제한 가능성 -> 국내 조달·재고 의사결정 불확실성 상승,1,0,"U.S. Federal Register (Dept. of Commerce, BIS)",https://www.federalregister.gov/documents/2017/04/26/2017-08499/notice-request-for-public-comments-and-public-hearing-on-section-232-national-security-investigation,상무부가 철강 수입이 국가안보에 미치는 영향을 조사한다고 공고했다.
S232_STEEL_TARIFF_2018,Section 232 철강 관세 25% 부과 (Proclamation 9705),TRADE_TARIFF_SANCTION,ONGOING,2018-03-23,2018-03-08,,IMPLEMENTED,수입 강재 가격 상승 -> 국내 밀 가동과 스크랩 수요 상승. 동시에 수입 축소·전방 수요 위축이라는 하락 채널도 존재,2,1,U.S. Federal Register (Proclamation 9705),https://www.federalregister.gov/documents/2018/03/15/2018-05478/adjusting-imports-of-steel-into-the-united-states,대부분 국가의 철강 수입에 25% 종가세를 부과하는 대통령 포고가 발효됐다.
S232_DERIVATIVES_2020,Section 232 파생 철강·알루미늄 제품으로 관세 확대,TRADE_TARIFF_SANCTION,POINT,2020-01-24,2020-01-24,,IMPLEMENTED,관세 적용 품목 확대 -> 국내 생산 대체 수요 확대,1,0,U.S. Federal Register (Presidential Proclamation),https://www.federalregister.gov/documents/2020/01/29/2020-01806/adjusting-imports-of-derivative-aluminum-articles-and-derivative-steel-articles-into-the-united,파생 철강·알루미늄 제품까지 Section 232 관세 대상이 확대됐다.
RU_TRADE_RESTRICTION_2022,대러 수입·수출·신규투자 제한 (EO 14068),TRADE_TARIFF_SANCTION,ONGOING,2022-03-11,2022-03-11,,IMPLEMENTED,산업 원자재 교역 경로 축소 -> 공급 제약(상승)과 수요 위축(하락) 동시,2,1,U.S. Federal Register (Executive Order 14068),https://www.federalregister.gov/documents/2022/03/15/2022-05554/prohibiting-certain-imports-exports-and-new-investment-with-respect-to-continued-russian-federation,러시아 관련 특정 품목의 수입·수출과 신규 투자를 금지했다.
RU_METALS_PROHIBITION_2024,러시아산 알루미늄·구리·니켈 수입 및 거래소 반입 금지,TRADE_TARIFF_SANCTION,ONGOING,2024-04-13,2024-04-12,,IMPLEMENTED,주요 산업금속의 글로벌 공급·거래소 유통 제약 -> 금속 전반 조달 압력 상승,3,0,U.S. Department of the Treasury,https://home.treasury.gov/news/press-releases/jy2249,미국과 영국이 러시아산 알루미늄·구리·니켈의 수입과 주요 금속거래소 반입을 금지했다.
S232_STEEL_25PCT_2025,Section 232 철강 관세 25% 재부과 (Proclamation 10896),TRADE_TARIFF_SANCTION,POINT,2025-02-10,2025-02-10,,ANNOUNCED,수입 강재 가격 상승 -> 국내 밀 가동률·스크랩 수요 상승. 수입 축소에 따른 전방 수요 둔화 채널 병존,3,1,U.S. Federal Register (Proclamation 10896),https://www.federalregister.gov/documents/2025/02/18/2025-02833/adjusting-imports-of-steel-into-the-united-states,철강 및 일부 파생 제품 수입에 25% 종가세를 부과하는 대통령 포고.
S232_INCLUSIONS_2025,Section 232 파생 품목 확대 절차 시행,TRADE_TARIFF_SANCTION,POINT,2025-05-02,2025-05-02,,IMPLEMENTED,관세 적용 품목 범위 확대 -> 국내 생산 대체 수요와 조달 비용 상승,2,1,U.S. Federal Register (Bureau of Industry and Security),https://www.federalregister.gov/documents/2025/05/02/2025-07676/adoption-and-procedures-of-the-section-232-steel-and-aluminum-tariff-inclusions-process,Section 232 관세 대상 파생 품목을 추가하는 공식 절차가 채택·시행됐다.
S232_STEEL_50PCT_2025,Section 232 철강·알루미늄 관세 50%로 인상 (Proclamation 10947),TRADE_TARIFF_SANCTION,ONGOING,2025-06-04,2025-06-03,,IMPLEMENTED,수입 강재 가격 추가 상승 -> 국내 밀 마진·스크랩 수요 강화. 수입 축소에 따른 수요 둔화 병존,3,1,U.S. Federal Register (Proclamation 10947),https://www.federalregister.gov/documents/2025/06/09/2025-10524/adjusting-imports-of-aluminum-and-steel-into-the-united-states,철강·알루미늄 Section 232 관세율을 25%에서 50%로 인상했다.
RU_UA_CONFLICT_2022,러시아-우크라이나 분쟁 관련 미국 비상조치 (EO 14065),GEOPOLITICAL_CONFLICT,ONGOING,2022-02-21,2022-02-21,,ESCALATED,주요 철강·원자재 수출국의 공급 차질과 교역 재편 -> 글로벌 공급 제약. 동시에 유럽 산업활동 위축이라는 하락 채널,3,1,U.S. Federal Register (Executive Order 14065),https://www.federalregister.gov/documents/2022/02/23/2022-04020/blocking-property-of-certain-persons-and-prohibiting-certain-transactions-with-respect-to-continued,우크라이나 주권 훼손에 대응해 해당 지역과의 투자·교역을 금지하는 행정명령이 발효됐다.
RU_UA_EMERGENCY_CONTINUED_2024,우크라이나 관련 국가비상사태 연장 공식 확인,GEOPOLITICAL_CONFLICT,POINT,2024-03-05,2024-03-05,,CONFIRMED,분쟁 상태 지속의 공식 확인 -> 공급 불확실성 유지,1,0,U.S. Federal Register (Presidential Notice),https://www.federalregister.gov/documents/2024/03/05/2024-04858/continuation-of-the-national-emergency-with-respect-to-ukraine,우크라이나 관련 국가비상사태가 연장됐음을 공식 통지했다.
YEMEN_STRIKES_2024,미국·연합군의 예멘 후티 군사목표 타격,GEOPOLITICAL_CONFLICT,POINT,2024-01-12,2024-01-12,,ESCALATED,항로 리스크 프리미엄 상승 -> 해상운임과 원자재 조달 비용 상승,2,0,U.S. Department of Defense,https://www.defense.gov/News/News-Stories/Article/Article/3644027/,미국과 연합국이 예멘 내 후티 군사표적을 타격했다고 공식 발표했다.
RU_ENERGY_IMPORT_BAN_2022,러시아산 원유·석유제품·LNG·석탄 수입 금지 (EO 14066),ENERGY_SUPPLY,ONGOING,2022-03-08,2022-03-08,,IMPLEMENTED,에너지·운송 비용 상승 -> 스크랩 수집·가공·운송 원가와 전기로 조업원가 상승,2,0,U.S. Federal Register (Executive Order 14066),https://www.federalregister.gov/documents/2022/03/10/2022-05232/prohibiting-certain-imports-and-new-investments-with-respect-to-continued-russian-federation-efforts,러시아산 원유·석유제품·LNG·석탄의 미국 수입을 금지했다.
RED_SEA_DISRUPTION_2023,홍해 항로 교란 및 다국적 해상보호 작전,SHIPPING_LOGISTICS,ONGOING,2023-12-18,2023-12-18,,ANNOUNCED,홍해·수에즈 항로 위험 상승 -> 운임·보험료 상승과 우회에 따른 리드타임 증가,2,0,U.S. Department of Defense,https://www.defense.gov/News/News-Stories/Article/Article/3624836/,홍해 상선 공격에 대응해 20개국 이상이 참여하는 다국적 해상 보호 작전이 발표됐다.
COVID_NATIONAL_EMERGENCY_2020,COVID-19 국가비상사태 선포 (Proclamation 9994),PANDEMIC_EMERGENCY,ONGOING,2020-03-01,2020-03-13,2023-05-11,IMPLEMENTED,공급망·물류 교란(상승 채널)과 산업 수요 급감(하락 채널)이 동시에 작동한 상충 환경,2,2,U.S. Federal Register (Proclamation 9994),https://www.federalregister.gov/documents/2020/03/18/2020-05794/declaring-a-national-emergency-concerning-the-novel-coronavirus-disease-covid-19-outbreak,COVID-19 확산이 국가비상사태에 해당한다고 선포했다(2020-03-01 기준 효력).
COVID_PHE_END_2023,COVID-19 공중보건 비상사태 공식 종료,PANDEMIC_EMERGENCY,POINT,2023-05-11,2023-05-11,,ENDED,비상 대응 종료에 따른 물류·산업활동 정상화 -> 팬데믹기 공급망 프리미엄 완화,0,2,U.S. CDC (MMWR),https://www.cdc.gov/mmwr/volumes/72/wr/mm7219e1.htm,연방 COVID-19 공중보건 비상사태 선언이 2023-05-11 자로 만료됐다.
